Ridge,Locality ,Sample ,SiO2_ol,MgO_ol,FeO_ol,NiO_ol,CaO_ol,Al2O3_ol,MgO_sp,Cr2O3_sp,Al2O3_sp,FeO_sp
Iceland,Borgahraun,BH22,40.86,47.05,10.19,0.28,0.37,0.072,15.48,43.68,24.95,14.76
Iceland,Borgahraun,BH22,40.69,46.41,11.21,0.30,0.37,0.064,15.25,40.94,26.74,16.02
Iceland,Borgahraun,BH22,40.07,44.50,14.02,0.23,0.38,0.052,12.81,40.63,22.79,21.67
Iceland,Borgahraun,BH22,40.20,46.80,11.36,0.28,0.33,0.076,18.42,20.75,44.33,14.21
Iceland,Borgahraun,BH38,40.33,47.74,9.71,0.29,0.38,0.072,17.98,27.88,37.94,13.14
Iceland,Borgahraun,BH38,40.75,48.54,8.30,0.35,0.40,0.082,15.60,46.76,21.50,13.34
Iceland,Borgahraun,BH38,40.83,48.62,8.26,0.35,0.40,0.083,15.75,46.22,21.22,13.58
Iceland,Borgahraun,BH47,40.76,48.45,8.90,0.35,0.36,0.094,16.65,46.46,21.86,13.37
Iceland,Borgahraun,BH47,40.99,48.97,8.39,0.35,0.36,0.084,16.33,46.79,21.48,13.82
Iceland,Borgahraun,BH62,39.91,47.36,10.36,0.30,0.39,0.075,18.82,22.37,41.96,13.33
Iceland,Borgahraun,BH62,40.91,47.89,9.86,0.30,0.40,0.077,19.23,22.37,42.81,13.28
Iceland,Borgahraun,BH62,40.78,47.67,9.97,0.30,0.40,0.070,18.32,27.59,37.96,14.02
Iceland,Borgahraun,BH62,40.85,47.81,9.92,0.30,0.41,0.084,18.94,21.39,43.66,13.47
Iceland,Borgahraun,BH62,40.37,46.59,11.31,0.29,0.34,0.056,15.32,39.64,26.18,17.03
Iceland,Borgahraun,BH62,40.52,47.02,10.81,0.30,0.35,0.080,18.74,23.50,42.11,13.13
Iceland,Borgahraun,BH62,40.46,46.97,10.75,0.30,0.34,0.085,18.38,24.26,41.38,14.02
Iceland,Borgahraun,BH62,40.43,46.54,11.55,0.29,0.32,0.079,17.87,25.31,39.81,15.14
Iceland,Borgahraun,BH62,39.82,45.39,12.57,0.25,0.38,0.059,14.69,37.01,26.40,19.37
Iceland,Borgahraun,BH70,40.61,47.26,10.26,0.31,0.33,0.075,17.87,24.92,41.22,14.25
Iceland,Herdubreidartogl,HBT2,39.87,43.79,14.08,0.24,0.33,0.052,13.91,33.63,27.52,22.80
Iceland,Herdubreidartogl,HBT2,39.74,43.43,14.41,0.24,0.32,0.052,13.63,33.30,27.68,33.30
Iceland,Herdubreidartogl,HBT2,40.61,46.01,12.29,0.27,0.34,0.059,14.99,33.95,29.29,19.80
Iceland,Herdubreidartogl,HBT2,40.43,45.73,12.27,0.28,0.34,0.056,15.35,34.34,30.30,18.59
Iceland,Herdubreidartogl,HBT2,40.32,45.22,13.08,0.26,0.34,0.054,14.94,35.20,26.31,21.45
Iceland,Herdubreidartogl,HBT2,39.98,44.27,14.07,0.24,0.32,0.053,13.94,35.34,25.93,22.54
Iceland,Herdubreidartogl,HBT2,40.17,44.17,14.08,0.24,0.32,0.050,14.12,33.10,27.73,23.21
Iceland,Herdubreidartogl,HBT2,40.14,45.58,12.72,0.25,0.34,0.051,14.66,34.53,28.32,20.56
Iceland,Herdubreidartogl,HBT2,40.21,44.47,13.36,0.25,0.34,0.050,14.66,33.67,29.23,20.95
Iceland,Herdubreidartogl,HBT2,40.15,44.49,13.51,0.25,0.33,0.052,14.63,33.55,29.27,20.88
Iceland,Kistufell,KS01,38.92,45.85,11.30,0.30,0.33,0.064,16.77,26.61,37.11,15.68
Iceland,Kistufell,KS01,39.62,45.80,11.23,0.31,0.32,0.064,16.87,26.84,37.07,15.83
Iceland,Kistufell,KS01,38.98,45.49,11.08,0.31,0.32,0.065,16.55,26.61,36.80,15.81
Iceland,Kistufell,KS02,39.45,45.66,11.52,0.28,0.36,0.078,16.38,27.05,35.92,16.30
Iceland,Kistufell,KS02,38.04,44.76,11.26,0.29,0.33,0.071,16.25,26.99,36.68,16.17
Iceland,Kistufell,KS02,39.14,45.55,11.37,0.30,0.33,0.057,16.74,27.24,36.39,16.43
Iceland,Theistareykir,TP01,39.82,46.87,10.06,0.33,0.36,0.074,15.81,35.27,30.50,14.90
Iceland,Theistareykir,TP01,38.99,46.12,9.98,0.34,0.35,0.078,15.60,34.82,30.17,14.97
Iceland,Theistareykir,TP01,39.42,46.47,10.47,0.31,0.39,0.088,15.27,35.88,27.30,18.00
Iceland,Theistareykir,TP01,40.40,47.76,9.76,0.31,0.38,0.097,17.05,32.92,32.82,14.35
Iceland,Theistareykir,TP01,40.12,47.39,9.80,0.31,0.38,0.098,16.54,33.54,32.46,14.40
Iceland,Theistareykir,TP01,40.71,47.80,9.78,0.31,0.38,0.081,16.92,34.20,32.04,14.21
Iceland,Theistareykir,TP01,39.97,46.43,10.59,0.30,0.39,0.063,15.55,35.20,30.71,15.30
Iceland,Theistareykir,TP01,39.74,47.01,10.06,0.32,0.38,0.087,15.70,35.91,29.42,15.28
Iceland,Theistareykir,TP01,32.16,43.33,9.01,0.32,0.35,0.066,14.23,30.89,31.61,13.37
Iceland,Theistareykir,TP02,40.27,47.54,10.13,0.31,0.39,0.070,16.70,33.43,32.48,14.55
Iceland,Theistareykir,TP02,40.52,46.83,10.83,0.30,0.37,0.070,16.44,31.27,34.68,15.31
Iceland,Theistareykir,TP02,40.84,47.59,10.47,0.30,0.38,0.070,17.03,31.46,33.91,14.99
Iceland,Theistareykir,TP02,40.23,46.97,10.41,0.31,0.38,0.077,16.47,31.35,34.58,15.46
Iceland,Theistareykir,TP02,40.47,47.40,10.14,0.29,0.38,0.074,14.69,35.59,29.82,17.09
Iceland,Theistareykir,TP02,40.15,46.94,10.14,0.31,0.38,0.092,14.36,40.56,26.41,16.33
Iceland,Theistareykir,TP02,39.99,46.95,10.53,0.30,0.37,0.075,17.18,29.37,35.88,14.62
Iceland,Theistareykir,TP02,42.53,30.29,9.18,0.18,5.18,0.068,17.18,29.37,35.88,14.62
EPR,Siqueiros,A25-D20-8,40.95,49.31,8.85,0.31,0.30,0.067,19.13,27.11,40.10,11.81
EPR,Siqueiros,A25-D20-8,40.94,49.52,8.95,0.33,0.29,0.041,19.51,25.02,41.73,11.42
EPR,Siqueiros,020-5,40.81,49.14,8.57,0.31,0.29,0.037,19.07,26.68,38.99,11.42
EPR,Siqueiros,020-6,40.87,49.32,8.82,0.32,0.29,0.034,18.94,29.63,37.08,12.32
EPR,Siqueiros,020-6,40.86,49.05,8.82,0.30,0.29,0.052,18.94,29.63,37.08,12.32
EPR,Siqueiros,020-6,40.60,48.07,9.84,0.26,0.31,0.041,18.94,29.63,37.08,12.32
EPR,Siqueiros,020-6,40.73,48.84,8.28,0.31,0.29,0.066,18.94,29.63,37.08,12.32
EPR,Siqueiros,020-6,40.89,49.10,8.58,0.32,0.29,0.057,18.94,29.63,37.08,12.32
EPR,Siqueiros,2384-1,41.05,49.20,8.40,0.29,0.29,0.055,19.15,25.27,41.09,11.25
EPR,Siqueiros,2384-1,41.09,49.19,8.52,0.30,0.29,0.062,18.69,29.50,36.28,12.01
EPR,Siqueiros,2384-1,41.15,49.36,8.83,0.30,0.29,0.050,18.69,29.50,36.28,12.01
EPR,Siqueiros,2384-1,40.89,49.28,8.59,0.31,0.29,0.054,19.32,27.24,38.18,11.71
EPR,Siqueiros,2384-11,40.48,47.32,10.60,0.24,0.30,0.040,15.56,33.43,28.62,17.14
EPR,Siqueiros,2384-11,40.39,47.25,10.57,0.22,0.32,0.037,15.47,32.96,28.60,16.89
EPR,Siqueiros,2384-11,40.54,47.47,10.49,0.24,0.31,0.061,15.47,32.96,28.60,16.89
EPR,Gulf of California,DSDP64-474A-42R1 77-79,40.76,48.31,11.05,0.32,0.29,0.070,18.46,23.63,41.22,14.82
EPR,Gulf of California,DSDP64-474A-42R1 77-79,40.69,47.85,11.75,0.30,0.30,0.061,18.46,23.63,41.22,14.82
EPR,Gulf of California,DSDP64-474A-42R1 77-79,40.83,48.32,10.87,0.32,0.29,0.061,18.46,23.63,41.22,14.82
MAR,15N MAR,JR63-31-11,41.23,49.43,10.56,0.34,0.27,0.055,17.50,28.06,36.80,15.23
